Calendar Year,ACARA SML ID,Location AGE ID,School AGE ID,Rolled School ID,School Name,Suburb,State,Postcode,School Sector,School Type,Special school,Campus Type,Latitude,Longitude,ABS Remoteness Area,ABS Remoteness Area Name,Meshblock,Statistical Area 1,Statistical Area 2,Statistical Area 2 Name,Statistical Area 3,Statistical Area 3 Name,Statistical Area 4,Statistical Area 4 Name,Local Government Area,Local Government Area Name,State Electoral Division,State Electoral Division Name,Commonwealth Electoral Division,Commonwealth Electoral Division Name,school_avg,school_sim_avg,diff
2024,48131,49173.0,9173.0,48131,Hampton Senior High School,MORLEY,WA,6062,Government,Secondary,0,School Single Entity,-31.8901676,115.9259254,0,Major Cities,50023880000,50401104731,504011047,Morley,50401,Bayswater - Bassendean,504,Perth - North East,50420,Bayswater,50502,Bassendean (East Metropolitan),513,Perth,535.9,532.8,3.1000000000000227
2024,48132,46658.0,6658.0,48132,Harvey Senior High School,HARVEY,WA,6220,Government,Secondary,0,School Single Entity,-33.08363148,115.9065456,1,Inner Regional,50143830000,50102101410,501021014,Harvey,50102,Bunbury,501,Bunbury,53990,Harvey,54006,Murray-Wellington (South West),507,Forrest,510.9,520.8,-9.899999999999977
2024,48133,52386.0,12386.0,48133,John Curtin College Of The Arts,FREMANTLE,WA,6160,Government,Secondary,0,School Single Entity,-32.04943,115.75751,0,Major Cities,50118080000,50702116522,507021165,Fremantle,50702,Fremantle,507,Perth - South West,53430,Fremantle,52205,Fremantle (South Metropolitan),508,Fremantle,603.6,591.5,12.100000000000023
2024,48134,54973.0,14973.0,48134,John Forrest Secondary College,MORLEY,WA,6062,Government,Secondary,0,School Single Entity,-31.904638,115.900069,0,Major Cities,50023520000,50401104715,504011047,Morley,50401,Bayswater - Bassendean,504,Perth - North East,50420,Bayswater,53402,Maylands (East Metropolitan),513,Perth,562.4,552.2,10.199999999999932
2024,48135,49821.0,9821.0,48135,Kalamunda Senior High School,KALAMUNDA,WA,6076,Government,Secondary,0,School Single Entity,-31.97841597,116.0588438,0,Major Cities,50163020000,50605114022,506051140,Kalamunda - Maida Vale - Gooseberry Hill,50605,Kalamunda,506,Perth - South East,54200,Kalamunda,52702,Kalamunda (East Metropolitan),509,Hasluck,555.6,555.2,0.39999999999997726
2024,48136,52524.0,12524.0,48136,Katanning Senior High School,KATANNING,WA,6317,Government,Secondary,0,School Single Entity,-33.68261,117.56833,2,Outer Regional,50174670000,50901123005,509011230,Katanning,50901,Albany,509,Western Australia - Wheat Belt,54340,Katanning,54701,Roe (Agricultural),511,O'Connor,510.3,496.7,13.600000000000023
2024,48137,46724.0,6724.0,48137,Kent Street Senior High School,Kensington,WA,6151,Government,Secondary,0,School Single Entity,-31.98533,115.89328,0,Major Cities,50312110000,50607114732,506071147,South Perth - Kensington,50607,South Perth,506,Perth - South East,58510,Victoria Park,55405,Victoria Park (South Metropolitan),514,Swan,565.9,561.5,4.399999999999977
2024,48138,46661.0,6661.0,48138,Gilmore College,ORELIA,WA,6167,Government,Secondary,0,School Single Entity,-32.23769,115.81534,0,Major Cities,50179140000,50703117424,507031174,Parmelia - Orelia,50703,Kwinana,507,Perth - South West,54830,Kwinana,53105,Kwinana (South Metropolitan),501,Brand,514.9,515.4,-0.5
2024,48139,52483.0,12483.0,48139,Manjimup Senior High School,MANJIMUP,WA,6258,Government,Secondary,0,School Single Entity,-34.23444,116.1338,2,Outer Regional,50196640000,50103101902,501031019,Manjimup,50103,Manjimup,501,Bunbury,55180,Manjimup,55706,Warren-Blackwood (South West),511,O'Connor,543.2,531.3,11.900000000000091
2024,48140,52509.0,12509.0,48140,Margaret River Senior High School,MARGARET RIVER,WA,6285,Government,Secondary,0,School Single Entity,-33.959932,115.073545,1,Inner Regional,50017020000,50101100411,501011004,Margaret River,50101,Augusta - Margaret River - Busselton,501,Bunbury,50280,Augusta Margaret River,55706,Warren-Blackwood (South West),507,Forrest,557.8,558.8,-1.0
2024,48141,52379.0,12379.0,48141,Melville Senior High School,MELVILLE,WA,6156,Government,Secondary,0,School Single Entity,-32.04672,115.8046,0,Major Cities,50209340000,50704118120,507041181,Melville,50704,Melville,507,Perth - South West,55320,Melville,50805,Bicton (South Metropolitan),515,Tangney,586.4,569.9,16.5
2024,48143,46719.0,6719.0,48143,Dianella Secondary College,DIANELLA,WA,6059,Government,Secondary,0,School Single Entity,-31.87763059,115.8536258,0,Major Cities,50279050000,50502130114,505021301,Dianella - North,50502,Stirling,505,Perth - North West,57910,Stirling,53802,Morley (East Metropolitan),504,Cowan,528.2,519.1,9.100000000000023
2024,48144,46715.0,6715.0,48144,Mount Lawley Senior High School,MOUNT LAWLEY,WA,6050,Government,Secondary,0,School Single Entity,-31.921698,115.870796,0,Major Cities,50295520000,50302103919,503021039,Mount Lawley - Inglewood,50302,Perth City,503,Perth - Inner,57910,Stirling,53902,Mount Lawley (East Metropolitan),513,Perth,595.5,579.8,15.700000000000045
2024,48145,52519.0,12519.0,48145,Narrogin Senior High School,NARROGIN,WA,6312,Government,Secondary,0,School Single Entity,-32.93742,117.19032,2,Outer Regional,50229690000,50903124909,509031249,Narrogin,50903,Wheat Belt - South,509,Western Australia - Wheat Belt,56460,Narrogin,54701,Roe (Agricultural),511,O'Connor,527.6,522.5,5.100000000000023
2024,48146,46671.0,6671.0,48146,Newton Moore Senior High School,SOUTH BUNBURY,WA,6230,Government,Secondary,0,School Single Entity,-33.36018,115.63407,1,Inner Regional,50040470000,50102125311,501021253,South Bunbury - Bunbury,50102,Bunbury,501,Bunbury,51190,Bunbury,50906,Bunbury (South West),507,Forrest,490.3,494.1,-3.8000000000000114
2024,48147,46699.0,6699.0,48147,Northam Senior High School,NORTHAM,WA,6401,Government,Secondary,0,School Single Entity,-31.64772717,116.667809,1,Inner Regional,50234130000,50902124317,509021243,Northam,50902,Wheat Belt - North,509,Western Australia - Wheat Belt,56730,Northam,51401,Central Wheatbelt (Agricultural),506,Durack,499.7,495.0,4.699999999999989
